doctor_name,specialty,qualification,designation,hospital,location,experience,profile_url
Alhaj Dr. Abu Jafor,ENT,"MBBS, DLO",Consultant,Bangladesh Medical University,Khulna,N/A,https://doctor.bd/doctor/alhaj-dr-abu-jafor-ent-khulna
Alhaj Dr. Md. Altaf Hossain Mondal,Psychiatry,"MBBS, DPM, FRSH",Ex-Head of the Department of Psychiatry,"Shaheed Ziaur Rahman Medical College Hospital, Bogura",Pabna,N/A,https://doctor.bd/doctor/alhaj-dr-md-altaf-hossain-mondal-psychiatry-pabna
Asso. Prof. Dr. Abdur Rabban Talukder,General Surgery,"MBBS, FCPS, FMS",Associate Professor,Sir Salimullah Medical College Mitford Hospital,Dhaka,N/A,https://doctor.bd/doctor/asso-prof-dr-abdur-rabban-talukder-general-surgery-dhaka
Asso. Prof. Dr. Ahmed Sharif,Urology,"MBBS, MS, FACS",Associate Professor,Holy Family Red Crescent Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/asso-prof-dr-ahmed-sharif-urology-dhaka
Asso. Prof. Dr. Amreen Faruq,General Surgery,"MBBS, MS, FACS",Associate Professor,BIRDEM General Hospital,Dhaka,N/A,https://doctor.bd/doctor/asso-prof-dr-amreen-faruq-general-surgery-dhaka
Asso. Prof. Dr. Habib Imtiaz Ahmed,Rheumatology,"MBBS, MRCP, MD",Associate Professor,Enam Medical College & Hospital,Dhaka,N/A,https://doctor.bd/doctor/asso-prof-dr-habib-imtiaz-ahmed-rheumatology-dhaka
Asso. Prof. Dr. Iftekhar Ahmed (Swapan),Dermatology,"MBBS, BCS, MD",Retired Professor,Sir Salimullah Medical College Mitford Hospital,Dhaka,N/A,https://doctor.bd/doctor/asso-prof-dr-iftekhar-ahmed-swapan-dermatology-dhaka
Asso. Prof. Dr. Kuntal Roy,Pediatrics,"MBBS, DCH, FCPS",Associate Professor,Anwer Khan Modern Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/asso-prof-dr-kuntal-roy-pediatrics-dhaka
Asso. Prof. Dr. Lt. Col. Md. Momin Uddin Kallol,ENT,"MBBS, FCPS, DLO, MCPS, FICS",Head of the Dept,"Bangladesh Navy Hospital, Chattogram",Chattogram,17+ Years,https://doctor.bd/doctor/asso-prof-dr-lt-col-md-momin-uddin-kallol-ent-chattogram
Asso. Prof. Dr. Md. Nazmul Huda,Orthopedics,"MBBS, BCS, FCPS, MS",Associate Professor,Shaheed Suhrawardy Medical College Hospital,Dhaka,N/A,https://doctor.bd/doctor/asso-prof-dr-md-nazmul-huda-orthopedics-dhaka
Asso. Prof. Dr. Md. Rezaul Alam (Reza),Dermatology,"MBBS, BCS, MD",Associate Professor,Rangpur Medical College Hospital,Rangpur,N/A,https://doctor.bd/doctor/asso-prof-dr-md-rezaul-alam-reza-dermatology-rangpur
Asso. Prof. Dr. Md. Sirajum Munir,Cardiology,"MBBS, BCS, MD",Associate Professor,Kushtia Medical College Hospital,Kushtia,N/A,https://doctor.bd/doctor/asso-prof-dr-md-sirajum-munir-cardiology-kushtia
Asso. Prof. Dr. Md. Wahiduzzaman Mazumder,Pediatrics,"MBBS, MD, FCPS",Associate Professor,Bangladesh Medical University,Dhaka,N/A,https://doctor.bd/doctor/asso-prof-dr-md-wahiduzzaman-mazumder-pediatrics-dhaka
Asso. Prof. Dr. Md. Zonaid Rahim,ENT,"MBBS, DLO",Associate Professor,National Institute of ENT & Hospital,Dhaka,N/A,https://doctor.bd/doctor/asso-prof-dr-md-zonaid-rahim-ent-dhaka
