title,category,published_date,author,url,image_url,content,word_count
"Notice of Cancellation: Request for Proposal (RFP) for Ground Development Works at the National Cricket Ground (NCG), Purbachal",Latest News,2026-07-14T12:13:00+00:00,Staff Correspondent,https://www.tigercricket.com.bd/detail/notice-of-cancellation-request-for-proposal-rfp-for-ground-development-works-at-the-national-cricket-ground-ncg-purbachal,https://www.tigercricket.com.bd/images/2026/07/1870669724820493.jpeg,"The Bangladesh Cricket Board (BCB) has cancelled the Request for Proposal (RFP) for Ground Development Works at the National Cricket Ground (NCG), Purbachal, Dhaka. Interested parties are requested to refer to the official notice for further information regarding the cancellation.",40
Worldwide Media Rights - Bilateral International Home Series involving the Bangladesh National Cricket Team (Men) in 2026–27,Latest News,2026-07-01T13:37:00+00:00,Staff Correspondent,https://www.tigercricket.com.bd/detail/worldwide-media-rights-bilateral-international-home-series-involving-the-bangladesh-national-cricket-team-men-in-2026-27,https://www.tigercricket.com.bd/images/2026/07/1869497222338741.jpeg,"The Bangladesh Cricket Board (BCB) invites Expressions of Interest (EOIs), along with financial offers, from reputable TV broadcasters, digital platforms, marketing agencies, consortiums, and firms for the acquisition of the Worldwide Media Rights for the following bilateral international home series involving the Bangladesh National Cricket Team (Men), to be hosted in Bangladesh during 2026–27: Series Covered under this EOI : 01. India Team’s Tour of Bangladesh 2026 (03 ODI and 03 T20i) 02. West Indies Team’s Tour of Bangladesh 2026 (02 Test) 03. England Team’s Tour of Bangladesh 2027 (02 Test) 04. Pakistan Team’s Tour of Bangladesh 2027 (05 ODI)",100
BCB Election 2026: Final List of Candidates Following Nomination Scrutiny (Eligible & Disqualified),Latest News,2026-05-23T18:50:00+00:00,Staff Correspondent,https://www.tigercricket.com.bd/detail/bcb-election-2026-final-list-of-candidates-following-nomination-scrutiny-eligible-disqualified,https://www.tigercricket.com.bd/images/2026/05/1865983624200206.jpeg,The Bangladesh Cricket Board has announced the list of eligible and disqualified candidates following the scrutiny of nomination papers for the BCB Election 2026. The official list outlines the status of all nominations after the verification process.,37
BCB Election 2026 - Final Voter List,Latest News,2026-05-19T18:06:00+00:00,Staff Correspondent,https://www.tigercricket.com.bd/detail/bcb-election-2026-final-voter-list,https://www.tigercricket.com.bd/images/2026/05/1865618718552373.jpeg,"The Final Voter List for the BCB Election 2026 has been officially published. Following the completion of the verification and review process, the finalised list is now available for all concerned stakeholders. This marks an important step ahead of the upcoming election process.",43
BCB election 2026 - Draft Voter List,Latest News,2026-05-17T17:52:00+00:00,Staff Correspondent,https://www.tigercricket.com.bd/detail/bcb-election-2026-draft-voter-list,https://www.tigercricket.com.bd/images/2026/05/1865436400970301.jpeg,The Draft Voter List for the BCB Election 2026 has been officially published.,13
BCB Election-2026 TOPSIL,Latest News,2026-05-16T17:46:00+00:00,Staff Correspondent,https://www.tigercricket.com.bd/detail/bcb-election-2026-topsil,https://www.tigercricket.com.bd/images/2026/05/1865345417998199.jpeg,The Bangladesh Cricket Board has officially announced the TOPSIL for the BCB Election 2026.,14
"The Bangladesh Women's add another feather, as the girls hunt down the Lankans.",Latest News,2026-04-28T15:55:00+00:00,Staff Correspondent,https://www.tigercricket.com.bd/detail/the-bangladesh-women-s-add-another-feather-as-the-girls-hunt-down-the-lankans,https://www.tigercricket.com.bd/images/2026/04/1863711166679334.jpeg,"For years, the Bangladesh women's cricket team, fought to establish their footprint in a sport dominated by traditional giants. In recent years, Bangladesh witnessed a series of breakthroughs. From the turning point of the 2018 Asia Cup to recent home-soil heroics, Bangladesh has systematically checked off first-ever victories against higher-ranked opponents. One of the most defining moments in Bangladesh's ODI cricket history of Women came in more recently. On 16th July 2023, at the Sher-e-Bangla National Stadium in Mirpur, Bangladesh defeated India by 40 runs (via DLS method). Marufa Akter’s fiery spell and Nigar Sultana’s captaincy ended a decade-long wait for a 50-over win against their neighbors. Talking about neighbors, Bangladesh found early success against Pakistan, recording their first ODI win on March 4, 2014, in Cox’s Bazar by 43 runs. The innings was tailored by Rumana Ahmed’s 44 runs and Lata Mondal cleaned up the Pak batter with her spell of 8 overs, picking up 4 wickets. The sweetest victory, however, arrived on the biggest stage on 14th Match, 2022. In the 2022 ICC Women’s World Cup in Hamilton, Bangladesh secured their first-ever win in the tournament by defeating Pakistan in a nine-run nail-biter. Batting first Bangladesh put on a score of 234, thanks to Fargana Hoque who played an innings for the books of 71 runs. While Sharmin Akhter and Nigar Sultana(C) missed on a half century but had caused enough damage with 44 and 46 runs respectively. From the other Fahima Khatun was too hot to handle, picking up 3 wickets. The Tigresses signaled their arrival and potential in 2012. On September 6, in Mirpur, they stunned South Africa in a low-scoring classic. Khadija Tul Kubra and Rumana Ahmed shared six wickets to restrict the Proteas to just 75. Despite a tense collapse during the chase, Lata Mondal showed nerves of steel, scoring an unbeaten 31 to guide Bangladesh to a landmark two-wicket victory. On 21st January of 2025, Nigar Sultana, the skipper, led Bangladesh to go big against West Indies. Her 68 proved to be instrumental against the Windies, in Basseterre. The second innings was an allround dominant show from bowlers as Nahida Akter picked up 3, while Marufa Akter, Rabeya Khan & Fahima Khatun claimed 2 wicket each. Resulting to an incredible 60 runs win and claim the first of many against the Windies. Under the golden Rajshahi sun of 20th April, 2026, history turned another page and it was rewritten. In a monumental display of grit and grace, the Bangladesh Women’s team secured their first-ever ODI victory against Sri Lanka, ahead of the World Cup. The foundation of this heist was laid by the relentless Ritu Moni and her masterclass of 3/36, restricting Lankans to a chaseable 205. From the other end, Sharmin Akhter’s stellar 86 led to a 3-wicket victory, marking their first-ever ODI win against the island nation.",476
Hon'ble PM Congratulates Bangladesh Team,Latest News,2026-03-16T16:20:00+00:00,Staff Correspondent,https://www.tigercricket.com.bd/detail/hon-ble-pm-congratulates-bangladesh-team,https://www.tigercricket.com.bd/images/2026/03/1859813641686089.jpeg,The Hon’ble Prime Minister of the People’s Republic of Bangladesh Tarique Rahman has congratulated the Bangladesh Cricket Team on its 2-1 ODI series victory against Pakistan. The Bangladesh side secured the series after winning the third and deciding match by 11 runs at the Sher-e Bangla National Cricket Stadium on Sunday.,51
"BCB Expresses Gratitude to PCB, ICC and all Involved",Latest News,2026-02-10T20:46:00+00:00,Staff Correspondent,https://www.tigercricket.com.bd/detail/bcb-expresses-gratitude-to-pcb-icc-and-all-involved,https://www.tigercricket.com.bd/images/2026/02/BCB-media-release-thumbnail.jpg.jpeg,Bangladesh Cricket Board acknowledges Pakistan Cricket Board and ICC for their positive role and solidarity. BCB Statement of ICC communication Regarding T20 World Cup 2026,25
Vendor Enlistment Cancellation Notice December 2025,Latest News,2025-12-07T20:46:00+00:00,Staff Correspondent,https://www.tigercricket.com.bd/detail/vendor-enlistment-cancellation-notice-december-2025,https://www.tigercricket.com.bd/images/2025/12/1850861241324714.jpg,"Notice of Cancellation, Vendor Enlistment Process of the Bangladesh Cricket Board",11
